PANEL	FILE	ID	HSQ	MODEL	N_SNP	N_cis	N_trans	MODELCV.R2	MODELCV.PV	PWAS.Z	PWAS.P	FDR	Bonferroni_p
03_establish_models/CAU_male_5e-9	03_establish_models/CAU_male_5e-9/08_establish_prediction_models/models//seq.10620.21.wgt.RDat	seq.10620.21	0.505	lasso	11	11	0	0.41	1.8e-89	-35.4	1.8e-274	3.5874e-271	3.5874e-271
03_establish_models/CAU_male_5e-9	03_establish_models/CAU_male_5e-9/08_establish_prediction_models/models//seq.3710.49.wgt.RDat	seq.3710.49	0.121	lasso	12	12	0	0.076	5.5e-15	-10	1.37e-23	1.365205e-20	2.73041e-20
03_establish_models/CAU_male_5e-9	03_establish_models/CAU_male_5e-9/08_establish_prediction_models/models//seq.4151.6.wgt.RDat	seq.4151.6	0.139	enet	37	37	0	0.11	1.7e-20	-9.92	3.35e-23	2.22551666666667e-20	6.67655e-20
03_establish_models/CAU_male_5e-9	03_establish_models/CAU_male_5e-9/08_establish_prediction_models/models//seq.17350.13.wgt.RDat	seq.17350.13	0.0254	lasso	2	2	0	0.03	8e-07	9.84	7.58e-23	3.776735e-20	1.510694e-19
03_establish_models/CAU_male_5e-9	03_establish_models/CAU_male_5e-9/08_establish_prediction_models/models//seq.22815.4.wgt.RDat	seq.22815.4	0.115	top1	1	1	0	0.075	1.1e-14	-8.98	2.6e-19	1.03636e-16	5.1818e-16
03_establish_models/CAU_male_5e-9	03_establish_models/CAU_male_5e-9/08_establish_prediction_models/models//seq.23691.2.wgt.RDat	seq.23691.2	0.0507	blup	612	612	0	0.028	1.9e-06	8.67	4.42e-18	1.46817666666667e-15	8.80906e-15
03_establish_models/CAU_male_5e-9	03_establish_models/CAU_male_5e-9/08_establish_prediction_models/models//seq.18307.71.wgt.RDat	seq.18307.71	0.0271	blup	606	606	0	0.014	0.00056	7.44	1.01e-13	2.87561428571429e-11	2.01293e-10
03_establish_models/CAU_male_5e-9	03_establish_models/CAU_male_5e-9/08_establish_prediction_models/models//seq.18864.7.wgt.RDat	seq.18864.7	0.13	enet	52	52	0	0.16	1.2e-31	-7.27	3.57e-13	8.8937625e-11	7.11501e-10
03_establish_models/CAU_male_5e-9	03_establish_models/CAU_male_5e-9/08_establish_prediction_models/models//seq.4153.11.wgt.RDat	seq.4153.11	0.166	enet	43	43	0	0.099	4.8e-19	6.69	2.18e-11	4.82748888888889e-09	4.34474e-08
03_establish_models/CAU_male_5e-9	03_establish_models/CAU_male_5e-9/08_establish_prediction_models/models//seq.5762.35.wgt.RDat	seq.5762.35	0.0329	lasso	7	0	7	0.039	2.4e-08	-6.52	7.17e-11	1.428981e-08	1.428981e-07
03_establish_models/CAU_male_5e-9	03_establish_models/CAU_male_5e-9/08_establish_prediction_models/models//seq.3181.50.wgt.RDat	seq.3181.50	0.102	lasso	3	3	0	0.18	2.8e-34	-6.32	2.58e-10	4.67449090909091e-08	5.14194e-07
