PANEL	FILE	ID	HSQ	MODEL	N_SNP	N_cis	N_trans	MODELCV.R2	MODELCV.PV	PWAS.Z	PWAS.P	FDR	Bonferroni_p
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.10620.21.wgt.RDat	seq.10620.21	0.276	enet	26	26	0	0.33	2.5e-27	-9.36	8.3e-21	3.54844e-18	1.01094e-17
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.4330.4.wgt.RDat	seq.4330.4	0.0531	top1	1	1	0	0.058	2e-05	9.35	8.74e-21	3.54844e-18	1.064532e-17
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.8468.19.wgt.RDat	seq.8468.19	0.0456	top1	1	1	0	0.011	0.041	9.35	8.74e-21	3.54844e-18	1.064532e-17
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.21232.39.wgt.RDat	seq.21232.39	0.0527	top1	1	1	0	0.038	0.00049	9.16	5.28e-20	1.60776e-17	6.43104e-17
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.13699.6.wgt.RDat	seq.13699.6	0.111	enet	24	24	0	0.021	0.0075	6.2	5.64e-10	1.373904e-07	6.86952e-07
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.5227.60.wgt.RDat	seq.5227.60	0.0635	blup	1413	1288	125	0.043	0.00024	4.75	2.07e-06	0.00042021	0.00252126
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.7849.3.wgt.RDat	seq.7849.3	0.412	top1	1	1	0	0.49	1.7e-43	-4.33	1.5e-05	0.00261	0.01827
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.24216.30.wgt.RDat	seq.24216.30	0.176	top1	1	1	0	0.29	4.2e-23	3.87	0.000109	0.01659525	0.132762
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.7234.12.wgt.RDat	seq.7234.12	0.074	blup	651	651	0	0.021	0.0081	3.76	0.000172	0.0232773333333333	0.209496
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.12422.143.wgt.RDat	seq.12422.143	0.0896	lasso	5	5	0	0.042	0.00026	-3.64	0.000268	0.031059	0.326424
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.2843.13.wgt.RDat	seq.2843.13	0.225	lasso	6	6	0	0.25	9.6e-20	3.61	0.000304	0.031059	0.370272
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.18381.16.wgt.RDat	seq.18381.16	0.405	top1	1	1	0	0.39	5.1e-33	-3.61	0.000306	0.031059	0.372708
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.3376.49.wgt.RDat	seq.3376.49	0.291	lasso	12	12	0	0.23	3.5e-18	3.52	0.000433	0.0404376	0.527394
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.2571.12.wgt.RDat	seq.2571.12	0.127	lasso	13	13	0	0.07	3.2e-06	3.49	0.000475	0.0404376	0.57855
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.10743.13.wgt.RDat	seq.10743.13	0.15	lasso	10	0	10	0.12	1.7e-09	3.48	0.000498	0.0404376	0.606564
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.21766.50.wgt.RDat	seq.21766.50	0.241	blup	1376	1376	0	0.09	1.3e-07	-3.31	0.000925	0.070415625	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.13475.10.wgt.RDat	seq.13475.10	0.0685	lasso	3	3	0	0.033	0.0011	-3.29	0.00102	0.07308	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.11163.7.wgt.RDat	seq.11163.7	0.0489	top1	1	1	0	0.043	0.00024	3.21	0.00134	0.0906733333333333	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.2730.58.wgt.RDat	seq.2730.58	0.601	enet	90	87	3	0.54	3.1e-50	3.19	0.00145	0.092568	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.3201.49.wgt.RDat	seq.3201.49	0.0601	enet	18	18	0	0.021	0.0084	3.17	0.00152	0.092568	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.19117.3.wgt.RDat	seq.19117.3	0.0738	top1	1	1	0	0.068	4e-06	2.96	0.00305	0.1769	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.7624.19.wgt.RDat	seq.7624.19	0.0606	top1	1	1	0	0.062	1.2e-05	-2.84	0.00447	0.247475454545455	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.12813.18.wgt.RDat	seq.12813.18	0.0931	blup	607	607	0	0.032	0.0013	2.82	0.0048	0.254191304347826	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.9385.4.wgt.RDat	seq.9385.4	0.201	lasso	13	13	0	0.2	1.6e-15	2.8	0.00509	0.2583175	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.21393.62.wgt.RDat	seq.21393.62	0.0572	top1	1	1	0	0.043	0.00021	2.76	0.00582	0.281545384615385	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.12571.14.wgt.RDat	seq.12571.14	0.0445	blup	896	896	0	0.027	0.0028	-2.75	0.00601	0.281545384615385	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.7808.5.wgt.RDat	seq.7808.5	0.325	lasso	17	6	11	0.37	3e-31	2.72	0.00652	0.29106	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.4964.67.wgt.RDat	seq.4964.67	0.597	enet	126	115	11	0.68	5e-73	-2.71	0.00675	0.29106	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.15533.97.wgt.RDat	seq.15533.97	0.0893	enet	21	21	0	0.038	0.00053	-2.7	0.00693	0.29106	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.23529.11.wgt.RDat	seq.23529.11	0.0333	top1	1	1	0	0.019	0.01	2.69	0.0072	0.29232	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.17692.2.wgt.RDat	seq.17692.2	0.397	lasso	24	24	0	0.28	2.6e-22	-2.63	0.00865	0.338375625	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.8794.13.wgt.RDat	seq.8794.13	0.257	enet	31	31	0	0.22	4.8e-17	2.62	0.00889	0.338375625	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.20078.6.wgt.RDat	seq.20078.6	0.0475	enet	17	17	0	0.017	0.015	-2.59	0.00965	0.356172727272727	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.9604.14.wgt.RDat	seq.9604.14	0.53	top1	1	1	0	0.58	1.5e-56	2.57	0.0101	0.361817647058823	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.3028.36.wgt.RDat	seq.3028.36	0.601	enet	90	90	0	0.32	4.2e-26	-2.55	0.0108	0.3654	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.3827.22.wgt.RDat	seq.3827.22	0.0254	top1	1	1	0	0.024	0.0051	2.55	0.0108	0.3654	1
03_establish_models/CHN_male_5e-9	03_establish_models/CHN_male_5e-9/08_establish_prediction_models/models//seq.16773.29.wgt.RDat	seq.16773.29	0.0774	top1	1	1	0	0.066	5.5e-06	-2.49	0.0126	0.399753846153846	1
