PANEL	FILE	ID	HSQ	MODEL	N_SNP	N_cis	N_trans	MODELCV.R2	MODELCV.PV	PWAS.Z	PWAS.P	FDR	Bonferroni_p
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.10620.21.wgt.RDat	seq.10620.21	0.326	lasso	7	7	0	0.32	2.3e-42	-8.48	2.34e-17	3.2526e-14	3.2526e-14
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.21232.39.wgt.RDat	seq.21232.39	0.0318	top1	1	1	0	0.023	0.00056	5.63	1.8e-08	8.34e-06	2.502e-05
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.8468.19.wgt.RDat	seq.8468.19	0.0543	top1	1	1	0	0.051	4e-07	5.63	1.8e-08	8.34e-06	2.502e-05
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.4330.4.wgt.RDat	seq.4330.4	0.0341	top1	1	1	0	0.019	0.0016	5.44	5.37e-08	1.866075e-05	7.4643e-05
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.14054.17.wgt.RDat	seq.14054.17	0.154	enet	38	38	0	0.097	2.5e-12	3.47	0.000528	0.114575714285714	0.73392
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.3601.54.wgt.RDat	seq.3601.54	0.103	blup	824	824	0	0.04	6.5e-06	3.46	0.000532	0.114575714285714	0.73948
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.23371.5.wgt.RDat	seq.23371.5	0.0922	top1	1	1	0	0.12	3.5e-15	3.44	0.000577	0.114575714285714	0.80203
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.9282.12.wgt.RDat	seq.9282.12	0.248	enet	42	42	0	0.15	1.1e-18	3.39	0.00069	0.1198875	0.9591
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.22568.7.wgt.RDat	seq.22568.7	0.431	lasso	7	0	7	0.23	7.8e-29	3.15	0.00161	0.248655555555556	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.15509.2.wgt.RDat	seq.15509.2	0.68	lasso	21	8	13	0.56	1.8e-86	2.98	0.00287	0.398045454545455	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.19130.81.wgt.RDat	seq.19130.81	0.135	enet	28	27	1	0.087	3.6e-11	-2.95	0.00315	0.398045454545455	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.4153.11.wgt.RDat	seq.4153.11	0.026	top1	1	1	0	0.035	2.6e-05	2.88	0.00397	0.435176923076923	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.7173.141.wgt.RDat	seq.7173.141	0.0378	lasso	3	3	0	0.032	4.8e-05	-2.87	0.00407	0.435176923076923	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.5581.28.wgt.RDat	seq.5581.28	0.232	lasso	8	8	0	0.16	9.4e-20	-2.81	0.00494	0.437077777777778	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.17460.51.wgt.RDat	seq.17460.51	0.179	enet	32	32	0	0.12	1.4e-15	2.81	0.00497	0.437077777777778	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.5508.62.wgt.RDat	seq.5508.62	0.0915	lasso	7	6	1	0.081	1.5e-10	2.78	0.00539	0.437077777777778	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.7696.3.wgt.RDat	seq.7696.3	0.0317	top1	1	1	0	0.026	0.00026	2.78	0.00545	0.437077777777778	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.22514.12.wgt.RDat	seq.22514.12	0.0415	top1	1	1	0	0.023	5e-04	-2.77	0.00566	0.437077777777778	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.6366.38.wgt.RDat	seq.6366.38	0.0498	enet	10	10	0	0.021	0.00096	2.75	0.00602	0.44041052631579	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.4159.130.wgt.RDat	seq.4159.130	0.163	top1	1	1	0	0.12	7.9e-15	-2.72	0.00653	0.453835	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.5736.1.wgt.RDat	seq.5736.1	0.0888	enet	41	39	2	0.073	1.2e-09	-2.65	0.0081	0.536142857142857	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.2620.4.wgt.RDat	seq.2620.4	0.0308	top1	1	1	0	0.031	7.3e-05	2.61	0.00913	0.57685	1
03_establish_models/HIS_male_5e-9	03_establish_models/HIS_male_5e-9/08_establish_prediction_models/models//seq.21722.21.wgt.RDat	seq.21722.21	0.25	enet	29	29	0	0.31	4e-40	-2.59	0.00958	0.578965217391304	1
