PANEL	FILE	ID	HSQ	MODEL	N_SNP	N_cis	N_trans	MODELCV.R2	MODELCV.PV	PWAS.Z	PWAS.P	FDR	Bonferroni_p
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.10620.21.wgt.RDat	seq.10620.21	0.549	enet	30	29	1	0.43	6.3e-57	-7.52	5.48e-14	8.64744e-11	8.64744e-11
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5509.7.wgt.RDat	seq.5509.7	0.089	lasso	12	12	0	0.035	3.5e-05	-4.61	4.05e-06	0.00319545	0.0063909
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.12571.14.wgt.RDat	seq.12571.14	0.0234	blup	401	401	0	0.017	0.0034	-4.4	1.1e-05	0.005786	0.017358
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.7779.86.wgt.RDat	seq.7779.86	0.163	enet	39	39	0	0.075	2.4e-09	-3.54	0.000402	0.104486142857143	0.634356
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.2819.23.wgt.RDat	seq.2819.23	0.299	enet	28	0	28	0.27	5.2e-33	3.5	0.00046	0.104486142857143	0.72588
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.23153.14.wgt.RDat	seq.23153.14	0.08	enet	18	18	0	0.035	3.7e-05	-3.43	0.000604	0.104486142857143	0.953112
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.2480.58.wgt.RDat	seq.2480.58	0.186	blup	1662	1662	0	0.069	1e-08	-3.4	0.000678	0.104486142857143	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.9322.15.wgt.RDat	seq.9322.15	0.0549	top1	1	1	0	0.056	2.4e-07	-3.35	0.000812	0.104486142857143	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.18275.5.wgt.RDat	seq.18275.5	0.158	enet	32	9	23	0.12	5.1e-14	3.34	0.000829	0.104486142857143	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.15613.16.wgt.RDat	seq.15613.16	0.0866	top1	1	0	1	0.065	2.6e-08	3.34	0.000835	0.104486142857143	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.3773.15.wgt.RDat	seq.3773.15	0.201	lasso	10	0	10	0.18	7.9e-22	3.33	0.000864	0.104486142857143	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5649.83.wgt.RDat	seq.5649.83	0.356	enet	46	46	0	0.27	2.3e-32	-3.33	0.000876	0.104486142857143	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5121.3.wgt.RDat	seq.5121.3	0.0838	top1	1	0	1	0.088	9.2e-11	3.31	0.000927	0.104486142857143	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5586.66.wgt.RDat	seq.5586.66	0.102	top1	1	0	1	0.077	1.2e-09	3.31	0.000927	0.104486142857143	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.3029.52.wgt.RDat	seq.3029.52	0.484	enet	73	36	37	0.37	9.3e-48	3.19	0.00143	0.150436	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.15440.57.wgt.RDat	seq.15440.57	0.142	blup	2784	2784	0	0.044	3.9e-06	3.16	0.0016	0.1578	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.21395.23.wgt.RDat	seq.21395.23	0.134	lasso	6	0	6	0.095	1.5e-11	3.12	0.00179	0.166154117647059	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.9232.1.wgt.RDat	seq.9232.1	0.409	enet	34	0	34	0.36	3e-46	3.07	0.00213	0.167124545454545	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.6496.60.wgt.RDat	seq.6496.60	0.0648	lasso	7	7	0	0.015	0.0054	3.06	0.00221	0.167124545454545	1
03_establish_models/AFR_male_5e-9	03_establish_models/AFR_male_5e-9/08_establish_prediction_models/models//seq.5542.22.wgt.RDat	seq.5542.22	0.0585	top1	1	0	1	0.067	1.7e-08	3.06	0.00224	0.167124545454545	1
