ID	Z_meta	P_meta	Direction	HetISq	HetPVal	FDR_meta	TargetFullName	Target	EntrezGeneSymbol	MODEL_AFA	Rsq_AFA	Z_AFA	P_AFA	FDR_AFA	MODEL_CHN	Rsq_CHN	Z_CHN	P_CHN	FDR_CHN	MODEL_CAU	Rsq_CAU	Z_CAU	P_CAU	FDR_CAU	MODEL_HIS	Rsq_HIS	Z_HIS	P_HIS	FDR_HIS
seq.10620.21	-37.912	1.65000000021214e-314	----	90.5	6.134e-07	4.65465000059845e-311	Beta-microseminoprotein	PSP-94	MSMB	enet	0.43	-7.52	5.48e-14	8.64744e-11	enet	0.33	-9.36	8.3e-21	3.54844e-18	lasso	0.41	-35.4	1.8e-274	3.5874e-271	lasso	0.32	-8.48	2.34e-17	3.2526e-14
seq.8468.19	10.9	1.155e-27	?+?+	0	0.571	1.6291275e-24	Prostate-specific antigen	PSA	KLK3	NA	NA	NA	NA	NA	top1	0.011	9.35	8.74e-21	3.54844e-18	NA	NA	NA	NA	NA	top1	0.051	5.63	1.8e-08	8.34e-06
seq.21232.39	10.73	7.337e-27	?+?+	0	0.5112	6.89922566666667e-24	Benign Prostate specific Antigen	BPSA	KLK3	NA	NA	NA	NA	NA	top1	0.038	9.16	5.28e-20	1.60776e-17	NA	NA	NA	NA	NA	top1	0.023	5.63	1.8e-08	8.34e-06
seq.3710.49	-10.011	1.37e-23	??-?	0	1	9.661925e-21	Angiostatin	Angiostatin	PLG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lasso	0.076	-10	1.37e-23	1.365205e-20	NA	NA	NA	NA	NA
seq.4151.6	-9.571	1.06e-21	-?-?	85.9	0.007738	5.98052e-19	Plasminogen	Plasminogen	PLG	top1	0.038	-0.504	0.614	0.966509207365893	NA	NA	NA	NA	NA	enet	0.11	-9.92	3.35e-23	2.22551666666667e-20	NA	NA	NA	NA	NA
seq.17350.13	9.502	2.054e-21	??+-	85.7	0.008109	9.65722333333333e-19	Charged multivesicular body protein 2b	CHM2B	CHMP2B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lasso	0.03	9.84	7.58e-23	3.776735e-20	blup	0.013	-0.691	0.489	0.953709468223087
seq.23691.2	8.756	2.031e-18	??++	0	0.6563	8.18493e-16	Tubulin--tyrosine ligase-like protein 12	TTL12	TTLL12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.028	8.67	4.42e-18	1.46817666666667e-15	top1	0.04	1.32	0.188	0.906975
seq.22815.4	-8.106	5.236e-16	-+--	84.8	0.0001958	1.8463445e-13	Tripartite motif-containing protein 40	TRI40	TRIM40	top1	0.088	-0.117	0.907	0.973545762711864	top1	0.14	0.546	0.585	0.960562747688243	top1	0.075	-8.98	2.6e-19	1.03636e-16	enet	0.15	-2.09	0.0365	0.761604166666667
seq.18307.71	7.44	1.01e-13	??+?	0	1	3.16578888888889e-11	Inorganic pyrophosphatase 2, mitochondrial	PPase 2	PPA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	blup	0.014	7.44	1.01e-13	2.87561428571429e-11	NA	NA	NA	NA	NA
seq.4153.11	7.083	1.414e-12	+?++	48.4	0.1439	3.988894e-10	Alpha-1-antichymotrypsin complex	alpha-1-antichymotrypsin complex	SERPINA3	enet	0.1	0.969	0.332	0.933975265017668	NA	NA	NA	NA	NA	enet	0.099	6.69	2.18e-11	4.82748888888889e-09	top1	0.035	2.88	0.00397	0.435176923076923
